token_id,Title/Name,Pantheon,Frame,License_URL,image_filename,animation_filename,background_hex,title_en,description_en,title_zh-Hans,description_zh-Hans,edition_size,token_range,Series,Character,Character_Variant,Colorway,name_final,slug,alt_text_en,alt_text_zh-Hans,attributes_json,image_mime,image_bytes,animation_mime,animation_bytes,collection_path,deity_or_collection,collection_item,Tier,token_name,Masters,Previews,Renders,Thumbnails,Poster Image,image_cid,cid_Previews,cid_Renders,cid_Thumbnails,cid_Poster_Image,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,contract_factory,price_native,currency,chain,license,external_url,standard,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,unlockable_notes,operator_filter,operator_policy_note,category_id,subcategory_id,taxonomy_tags,schema_version,Symbol
1002,Zeus - The King Of The Gods,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Zeus""}]",Greek,Zeus,,Gold,Zeus,zeus-1002,Round canvas portrait of Zeus palette: Gold.,圆形画布肖像：Zeus配色：Gold。,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Zeus""},{""trait_type"":""Colorway"",""value"":""Gold""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Zeus,Zeus,,,,,,,,,,,,,,,,,,,,,,,Zora,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Posiedon,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Posiedon""}]",Greek,Posiedon,,Green,Posiedon,posiedon,Round canvas portrait of Posiedon,圆形画布肖像：Posiedon,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Posiedon""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Posiedon,Posiedon,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Ares,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Ares""}]",Greek,Ares,,,Ares,ares,Round canvas portrait of Ares,圆形画布肖像：Ares,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Ares""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Ares,Ares,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,HADES,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""HADES""}]",Greek,HADES,,,HADES,hades,Round canvas portrait of HADES,圆形画布肖像：HADES,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""HADES""}]",,,,,04_COLLECTIONS/Greek/The Olympians/HADES,HADES,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Aphrodite,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Aphrodite""}]",Greek,Aphrodite,,,Aphrodite,aphrodite,Round canvas portrait of Aphrodite,圆形画布肖像：Aphrodite,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Aphrodite""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Aphrodite,Aphrodite,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Apollo,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Apollo""}]",Greek,Apollo,,,Apollo,apollo,Round canvas portrait of Apollo,圆形画布肖像：Apollo,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Apollo""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Apollo,Apollo,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Athena,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Athena""}]",Greek,Athena,,,Athena,athena,Round canvas portrait of Athena,圆形画布肖像：Athena,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Athena""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Athena,Athena,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Hera,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hera""}]",Greek,Hera,,,Hera,hera,Round canvas portrait of Hera,圆形画布肖像：Hera,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hera""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Hera,Hera,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Hermes,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hermes""}]",Greek,Hermes,,,Hermes,hermes,Round canvas portrait of Hermes,圆形画布肖像：Hermes,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hermes""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Hermes,Hermes,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
,Artemis,Greek,,Add,,,FFFFFF,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Artemis""}]",Greek,Artemis,,,Artemis,artemis,Round canvas portrait of Artemis,圆形画布肖像：Artemis,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Artemis""}]",,,,,04_COLLECTIONS/Greek/The Olympians/Artemis,Artemis,,,,,,,,,,,,,,,,,,,,,,,OpenSea,00_ADMIN/LICENSE_TEMPLATE.txt,,,,,721,,,,,,on,Respect creator royalties; allow major marketplaces.,,,,v1.1,
