tab_name,tab_name,langs
Greek - The Olympians,Greek - The Olympians,
Greek - The Titans,Greek - The Titans,
Greek - Gods And Goddesses,Greek - Gods And Goddesses,
Greek - Monsters,Greek - Monsters,
Greek - Creatures,Greek - Creatures,
Greek - Greek Heroes,Greek - Greek Heroes,
Greek - Gigantes and Giants,Greek - Gigantes and Giants,
Greek - Greek Collections,Greek - Greek Collections,
Greek - Hero Stories & Collecti,Greek - Hero Stories & Collecti,
Chinese,Chinese,zh-Hans
Aztec,Aztec,
Hindu,Hindu,hi
Egyptian,Egyptian,
Japanese,Japanese,ja
Celtic,Celtic,
Roman,Roman,it
Norse,Norse,
GHM_SELFTEST_REPORT,GHM_SELFTEST_REPORT,
