scene,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,myth_scene,Style,Colourway,Frame,slug,title_display,title_en,description_en,alt_text_en,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,image_cid,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,reveal_mode,reveal_date,freeze_policy,freeze_date,primary_mint_platform,est_gas_mint,est_gas_batch,contract_address,contract_factory,Renders,Thumbnails,cid_Renders,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid_legacy,unlockable_bytes,image_url,animation_url,drive_image_id,drive_animation_id,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes,meta_title_auto,meta_description_auto,og_image_auto,print_eligible_inferred,provenance_block_sha,external_url_built,json_filename,edition_string,media_filename,len_name_final,status_name_final,len_slug,status_slug,len_description_en,status_description_en,len_caption_300,status_caption_300,len_Series,status_Series,len_Character,status_Character,len_Character_Variant,status_Character_Variant,len_myth_scene,status_myth_scene,len_Style,status_Style,len_Tier,status_Tier,len_edition_size,status_edition_size,sot_status,caption_long_en,research_notes,sources_bibliography,sot_link,HIDDEN_OPS - columns hidden
,1002,1,Mythic Icon,Greek Olympians,#000000,Zeus,Zeus,The Wise,Watches the world from Olympia,Painterly photographic,Gold and Blue Palette,Gold Baroque Frame,the-olympian-zeus-the-wise-watches-the-world-from-olympia-painterly-photographic,The Olympian | Zeus The Wise Watches the world from Olympia | Painterly photographic | Gold and Blue Pallette | Gold Baroque Frame,Zeus — The Wise (Watches the world from Olympia),,"Zeus — The Wise. Watches the world from Olympia, Gold and Blue Pallette.",,,,,,,,,,,Greek,,,,,2,https://drive.google.com/file/d/1xwyiOO42bFuPjYke_zymFEe-LgxNyQbh/view?usp=sharing,3,,,,04_COLLECTIONS/Greek/The Olympians/Zeus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,off,ETH,0,,,,,,,,,OpenSea,Zora,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1xwyiOO42bFuPjYke_zymFEe-LgxNyQbh/view?usp=sharing,https://drive.google.com/uc?export=view&id=https://drive.google.com/file/d/142opRbP2MUcup8wvDmCWNz_gb3iPp1BW/view?usp=sharing,https://drive.google.com/file/d/1xwyiOO42bFuPjYke_zymFEe-LgxNyQbh/view?usp=sharing,https://drive.google.com/file/d/142opRbP2MUcup8wvDmCWNz_gb3iPp1BW/view?usp=sharing,,,,,,,,,,,,,"Zeus — The Wise (Watches the world from Olympia). Watches the world from Olympia, Gold and Blue palette. Mythic Icon edition.",Zeus — The Wise · Painterly photographic · Mythic Icon — Watches the world from Olympia,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Zeus""},{""trait_type"":""Variant/Location"",""value"":""The Wise""},{""trait_type"":""Myth Scene"",""value"":""Watches the world from Olympia""},{""trait_type"":""Style/Format"",""value"":""Painterly photographic""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""},{""trait_type"":""Colorway"",""value"":""Gold and Blue Palette""},{""trait_type"":""Frame"",""value"":""Gold Baroque Frame""}]",TRUE,,,FALSE,,,,,,,,,,,Zeus — The Wise (Watches the world from Olympia) | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1xwyiOO42bFuPjYke_zymFEe-LgxNyQbh/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-zeus-the-wise-watches-the-world-from-olympia-painterly-photographic,the-olympian-zeus-the-wise-watches-the-world-from-olympia-painterly-photographic.json,Edition of 1,the-olympian-zeus-the-wise-watches-the-world-from-olympia-painterly-photographic,4,GREEN,80,GREEN,0,GREEN,0,GREEN,12,GREEN,4,GREEN,8,GREEN,30,AMBER,22,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
,,1,Limited Edition Print,Greek Olympians,#FFFFFF,Poseidon,Poseidon,The Sea Master,Moves the waves,Painterly photographic,Green and Grey Palette,Dark Patterned Frame,the-olympian-poseidon-the-sea-master-moves-the-waves-painterly-photographic,The Olympian | Poseidon The Sea Master Moves the waves | Painterly photographic | Green and Grey Pallette | Dark Patterned Frame,Poseidon — The Sea Master (Moves the waves),,"Poseidon — The Sea Master. Moves the waves, Green and Grey Pallette.",,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1ONpf768_De6uY_ZtVXyvOXruA5YW_suA/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Posiedon,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1ONpf768_De6uY_ZtVXyvOXruA5YW_suA/view?usp=sharing,,https://drive.google.com/file/d/1ONpf768_De6uY_ZtVXyvOXruA5YW_suA/view?usp=sharing,,,,,,,,,,,,,,"Poseidon — The Sea Master (Moves the waves). Moves the waves, Green and Grey palette. Limited Edition Print edition.",Poseidon — The Sea Master · Painterly photographic · Limited Edition Print — Moves the waves,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Poseidon""},{""trait_type"":""Variant/Location"",""value"":""The Sea Master""},{""trait_type"":""Myth Scene"",""value"":""Moves the waves""},{""trait_type"":""Style/Format"",""value"":""Painterly photographic""},{""trait_type"":""Tier"",""value"":""Limited Edition Print""},{""trait_type"":""Edition Size"",""value"":""1""},{""trait_type"":""Colorway"",""value"":""Green and Grey Palette""},{""trait_type"":""Frame"",""value"":""Dark Patterned Frame""}]",TRUE,,,FALSE,,,,,,,,,,,Poseidon — The Sea Master (Moves the waves) | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1ONpf768_De6uY_ZtVXyvOXruA5YW_suA/view?usp=sharing,YES,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-poseidon-the-sea-master-moves-the-waves-painterly-photographic,the-olympian-poseidon-the-sea-master-moves-the-waves-painterly-photographic.json,Edition of 1,the-olympian-poseidon-the-sea-master-moves-the-waves-painterly-photographic,8,GREEN,75,GREEN,0,GREEN,0,GREEN,12,GREEN,8,GREEN,14,GREEN,15,GREEN,22,GREEN,21,GREEN,1,GREEN,FALSE,,,,,
,,1,Mythic Icon,Greek Olympians,#FFFFFF,Ares,Ares,,,,,,the-olympian-ares,The Olympian | Ares,Ares,,Ares,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1SB0nCUyaw7RkOe4k0lCOP_ZvXh4M_N8Q/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Ares,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1SB0nCUyaw7RkOe4k0lCOP_ZvXh4M_N8Q/view?usp=sharing,,https://drive.google.com/file/d/1SB0nCUyaw7RkOe4k0lCOP_ZvXh4M_N8Q/view?usp=sharing,,,,,,,,,,,,,,Ares. Mythic Icon edition.,Ares · Mythic Icon,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Ares""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Ares | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1SB0nCUyaw7RkOe4k0lCOP_ZvXh4M_N8Q/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-ares,the-olympian-ares.json,Edition of 1,the-olympian-ares,4,GREEN,17,GREEN,0,GREEN,0,GREEN,12,GREEN,4,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
,,1,Mythic Icon,Greek Olympians,#000000,Hades,Hades,,,,,,the-olympian-hades,The Olympian | Hades,Hades,,Hades,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/13PzeNhSHS8kapZwOHNx86fpgUIU1t_nT/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/HADES,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/13PzeNhSHS8kapZwOHNx86fpgUIU1t_nT/view?usp=sharing,,https://drive.google.com/file/d/13PzeNhSHS8kapZwOHNx86fpgUIU1t_nT/view?usp=sharing,,,,,,,,,,,,,,Hades. Mythic Icon edition.,Hades · Mythic Icon,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Hades""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Hades | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/13PzeNhSHS8kapZwOHNx86fpgUIU1t_nT/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-hades,the-olympian-hades.json,Edition of 1,the-olympian-hades,5,GREEN,18,GREEN,0,GREEN,0,GREEN,12,GREEN,5,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
,,1,Mythic Icon,Greek Olympians,#FFFFFF,Aphrodite,Aphrodite,,,,,,the-olympian-aphrodite,The Olympian | Aphrodite,Aphrodite,,Aphrodite,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1RQHzDMc9dBvOfLYrTvU2gwr_6g6rVDHU/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Aphrodite,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1RQHzDMc9dBvOfLYrTvU2gwr_6g6rVDHU/view?usp=sharing,,https://drive.google.com/file/d/1RQHzDMc9dBvOfLYrTvU2gwr_6g6rVDHU/view?usp=sharing,,,,,,,,,,,,,,Aphrodite. Mythic Icon edition.,Aphrodite · Mythic Icon,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Aphrodite""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Aphrodite | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1RQHzDMc9dBvOfLYrTvU2gwr_6g6rVDHU/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-aphrodite,the-olympian-aphrodite.json,Edition of 1,the-olympian-aphrodite,9,GREEN,22,GREEN,0,GREEN,0,GREEN,12,GREEN,9,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
,,1,Mythic Icon,Greek Olympians,#FFFFFF,Apollo,Apollo,,,,,,the-olympian-apollo,The Olympian | Apollo,Apollo,,Apollo,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1o7HMBtLjAoFZcGlkwy8oZpGUvpr_cLHv/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Apollo,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1o7HMBtLjAoFZcGlkwy8oZpGUvpr_cLHv/view?usp=sharing,,https://drive.google.com/file/d/1o7HMBtLjAoFZcGlkwy8oZpGUvpr_cLHv/view?usp=sharing,,,,,,,,,,,,,,Apollo. Mythic Icon edition.,Apollo · Mythic Icon,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Apollo""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Apollo | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1o7HMBtLjAoFZcGlkwy8oZpGUvpr_cLHv/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-apollo,the-olympian-apollo.json,Edition of 1,the-olympian-apollo,6,GREEN,19,GREEN,0,GREEN,0,GREEN,12,GREEN,6,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
,,1,Relic,Greek Olympians,#FFFFFF,Athena,Athena,,,,,,the-olympian-athena,The Olympian | Athena,Athena,,Athena,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1lQEAsOh9PQYJWwdHz4RmdAVSuCnyV4SG/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Athena,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1lQEAsOh9PQYJWwdHz4RmdAVSuCnyV4SG/view?usp=sharing,,https://drive.google.com/file/d/1lQEAsOh9PQYJWwdHz4RmdAVSuCnyV4SG/view?usp=sharing,,,,,,,,,,,,,,Athena. Relic edition.,Athena · Relic,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Athena""},{""trait_type"":""Tier"",""value"":""Relic""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Athena | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1lQEAsOh9PQYJWwdHz4RmdAVSuCnyV4SG/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-athena,the-olympian-athena.json,Edition of 1,the-olympian-athena,6,GREEN,19,GREEN,0,GREEN,0,GREEN,12,GREEN,6,GREEN,0,GREEN,0,GREEN,0,GREEN,5,GREEN,1,GREEN,FALSE,,,,,
,,1,Mythic Icon,Greek Olympians,#FFFFFF,Hera,Hera,,,,,,the-olympian-hera,The Olympian | Hera,Hera,,Hera,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1RuBEOxQVa5PwkKpgXyCOzZwMwzIS6ndg/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Hera,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1RuBEOxQVa5PwkKpgXyCOzZwMwzIS6ndg/view?usp=sharing,,https://drive.google.com/file/d/1RuBEOxQVa5PwkKpgXyCOzZwMwzIS6ndg/view?usp=sharing,,,,,,,,,,,,,,Hera. Mythic Icon edition.,Hera · Mythic Icon,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Hera""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Hera | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1RuBEOxQVa5PwkKpgXyCOzZwMwzIS6ndg/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-hera,the-olympian-hera.json,Edition of 1,the-olympian-hera,4,GREEN,17,GREEN,0,GREEN,0,GREEN,12,GREEN,4,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
,,1,Mythic Icon,Greek Olympians,#000000,Hermes,Hermes,,,,,,the-olympian-hermes,The Olympian | Hermes,Hermes,,Hermes,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1y7SNji36Dw5oniWutkwGPIDZhDADdb_c/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Hermes,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1y7SNji36Dw5oniWutkwGPIDZhDADdb_c/view?usp=sharing,,https://drive.google.com/file/d/1y7SNji36Dw5oniWutkwGPIDZhDADdb_c/view?usp=sharing,,,,,,,,,,,,,,Hermes. Mythic Icon edition.,Hermes · Mythic Icon,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Hermes""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Hermes | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1y7SNji36Dw5oniWutkwGPIDZhDADdb_c/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-hermes,the-olympian-hermes.json,Edition of 1,the-olympian-hermes,6,GREEN,19,GREEN,0,GREEN,0,GREEN,12,GREEN,6,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
,,1,Mythic Icon,Greek Olympians,#FFFFFF,Artemis,Artemis,,,,,,the-olympian-artemis,The Olympian | Artemis,Artemis,,Artemis,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1B9OiJY7FJlprh1rE7yl_9iJrd1A_UBBn/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Artemis,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1B9OiJY7FJlprh1rE7yl_9iJrd1A_UBBn/view?usp=sharing,,https://drive.google.com/file/d/1B9OiJY7FJlprh1rE7yl_9iJrd1A_UBBn/view?usp=sharing,,,,,,,,,,,,,,Artemis. Mythic Icon edition.,Artemis · Mythic Icon,"[{""trait_type"":""Series"",""value"":""The Olympian""},{""trait_type"":""Character"",""value"":""Artemis""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,Artemis | The Olympian,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1B9OiJY7FJlprh1rE7yl_9iJrd1A_UBBn/view?usp=sharing,NO,06a57688e1bb080ecc6f743361de68407c74a8ca69b9f6a243c0a3062b0aba36,https://godsheroesmyths.com/the-olympian-artemis,the-olympian-artemis.json,Edition of 1,the-olympian-artemis,7,GREEN,20,GREEN,0,GREEN,0,GREEN,12,GREEN,7,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
