Series,Character,token_id,standard,contract_factory,name_final,slug,operator_filter,category_id,subcategory_id,attributes_json,alt_text_en,License_URL,Symbol
,,1002,721,OpenSea,Zeus,zeus-1002,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Zeus""},{""trait_type"":""Colorway"",""value"":""Gold""}]",Round canvas portrait of Zeus palette: Gold.,Add,FFFFFF
,,,721,OpenSea,Posiedon,posiedon,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Posiedon""}]",Round canvas portrait of Posiedon,Add,FFFFFF
,,,721,OpenSea,Ares,ares,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Ares""}]",Round canvas portrait of Ares,Add,FFFFFF
,,,721,OpenSea,HADES,hades,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""HADES""}]",Round canvas portrait of HADES,Add,FFFFFF
,,,721,OpenSea,Aphrodite,aphrodite,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Aphrodite""}]",Round canvas portrait of Aphrodite,Add,FFFFFF
,,,721,OpenSea,Apollo,apollo,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Apollo""}]",Round canvas portrait of Apollo,Add,FFFFFF
,,,721,OpenSea,Athena,athena,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Athena""}]",Round canvas portrait of Athena,Add,FFFFFF
,,,721,OpenSea,Hera,hera,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hera""}]",Round canvas portrait of Hera,Add,FFFFFF
,,,721,OpenSea,Hermes,hermes,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hermes""}]",Round canvas portrait of Hermes,Add,FFFFFF
,,,721,OpenSea,Artemis,artemis,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Artemis""}]",Round canvas portrait of Artemis,Add,FFFFFF
,,,721,OpenSea,Hephaestus,hephaestus,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hephaestus""}]",Round canvas portrait of Hephaestus,Add,FFFFFF
,,,721,OpenSea,Hestia,hestia,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hestia""}]",Round canvas portrait of Hestia,Add,FFFFFF
