row,field,action,value
2,alt_text_en,cleaned_existing,Zeus - The King Of The Gods. portrait of Zeus Gold.
3,alt_text_en,cleaned_existing,Poseidon. portrait of Poseidon
4,alt_text_en,cleaned_existing,Ares. portrait of Ares
5,alt_text_en,cleaned_existing,Hades. portrait of Hades
6,alt_text_en,cleaned_existing,Aphrodite. portrait of Aphrodite
7,alt_text_en,cleaned_existing,Apollo. portrait of Apollo
8,alt_text_en,cleaned_existing,Athena. portrait of Athena
9,alt_text_en,cleaned_existing,Hera. portrait of Hera
10,alt_text_en,cleaned_existing,Hermes. portrait of Hermes
11,alt_text_en,cleaned_existing,Artemis. portrait of Artemis
12,alt_text_en,cleaned_existing,Hephaestus. portrait of Hephaestus
13,alt_text_en,cleaned_existing,Hestia. portrait of Hestia
